difficulty,puzzle_id,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,total_invocations,initial_vertex_count,initial_edge_count,edge_build_ns,pruned_vertex_count,pruned_edge_count,removed_vertices,pruning_time_ns,solution_count,puzzle_classification,extraction_time_ns,mask_init_time_ns,permutation_time_ns,total_time_ns
hard,13,72,108,86,6,136,2,144,80,4,83168,638,9012,97224769,9,18,629,1137091,1,Unique,7274,81433,15936362,115268700
hard,14,420,27,4,8,7,33,56,7,70,48958,632,4200,63519757,9,18,623,552499,1,Unique,7925,82384,14879380,79934639
hard,15,97,8,24,132,35,8,83,10,42,48045,439,5677,48097080,9,18,430,719559,1,Unique,8697,81058,10037036,59584357
hard,16,8,80,192,72,5,16,60,30,5,33816,468,3999,53783717,9,18,459,1568631,1,Unique,6763,86481,11005823,67179739
hard,17,2,18,196,76,4,66,740,306,36,360680,1444,17404,395494720,9,18,1435,3245723,1,Unique,7510,78717,38467641,439150733
hard,18,24,7,25,132,2,461,8,50,556,382250,1265,15255,296708060,9,18,1256,2307660,1,Unique,9001,80903,25446046,327061590
hard,19,22,6,18,8,624,24,19,54,96,71804,871,5585,103159390,9,18,862,1120367,1,Unique,6339,82607,15018566,120553986
hard,20,10,10,4,120,112,204,134,10,324,198112,928,15646,203544660,9,18,919,10372581,1,Unique,6655,79264,23776498,239001148
hard,21,8,580,22,78,160,76,6,30,17,168414,977,13966,162864662,9,18,968,4581698,1,Unique,6683,82008,18279663,187129295
hard,22,4,44,52,124,36,4,7,17,48,16279,336,1924,26532366,9,18,327,358895,1,Unique,6407,81861,9183929,36680108
hard,23,28,2,60,20,178,52,44,72,72,54404,528,5870,67670849,9,18,519,1188195,1,Unique,6992,88250,12433746,82145408
hard,24,162,119,304,1060,3,18,66,3,9,389300,1744,32007,510299577,9,18,1735,10317346,1,Unique,6872,81426,28265431,551241564
hard,25,28,20,90,478,40,12,10,76,6,56988,760,4454,97401341,9,18,751,1141849,1,Unique,7040,84589,14316470,114069364
hard,26,12,160,126,145,42,44,80,12,70,86198,691,7481,114475551,9,18,682,16045002,1,Unique,6617,77795,21414400,152980261
hard,27,1368,16,5,96,20,4,228,14,23,506121,1774,38977,345258756,9,18,1765,2281871,1,Unique,10038,85149,37741572,387673479
hard,28,12,10,96,4,76,192,12,48,50,59432,500,5737,57238867,9,18,491,1154501,1,Unique,6520,81962,13127545,72331573
hard,29,80,50,192,4,2,22,128,90,18,68472,586,7608,81768583,9,18,577,1335146,1,Unique,11322,83695,12879076,97099607
hard,30,228,9,312,18,4,48,36,2,52,125890,709,13117,103250638,9,18,700,1420145,1,Unique,8565,110293,19298341,125253588
hard,31,24,144,10,24,36,16,24,44,312,52336,634,5412,80672845,9,18,625,3662855,1,Unique,7162,82616,12465224,98062295
hard,32,18,8,10,16,6,60,152,28,932,245572,1230,15080,177849260,9,18,1221,616879,1,Unique,8912,83387,19447188,199925330
hard,33,40,92,13,2,8,164,102,976,16,231516,1413,12634,282657645,9,18,1404,2744485,1,Unique,8370,79647,30324328,318063085
hard,34,26,92,162,20,412,102,12,8,10,136280,844,9579,143083949,9,18,835,2623524,1,Unique,7630,75783,16301774,163224958
hard,35,7,14,3,25,344,70,6,64,110,79010,643,7589,87219946,9,18,634,710612,1,Unique,6297,78769,16237267,105152321
hard,36,20,70,8,76,40,124,10,100,33,45802,481,5446,61456400,9,18,472,1131546,1,Unique,8686,81948,13690873,77423487
hard,37,36,222,38,8,40,117,12,56,6,54556,535,5168,63765997,9,18,526,389133,1,Unique,6735,80360,10265656,75266382
hard,38,8,43,2,4,16,10,30,76,1144,143566,1333,10374,132318831,9,18,1324,555481,1,Unique,6450,86099,21279088,155994805
hard,39,32,29,5,240,128,32,50,2,20,71075,538,8090,60790952,9,18,529,457198,1,Unique,6270,81972,11540077,73623177
hard,40,26,12,112,12,12,198,6,32,78,60428,488,8116,51281776,9,18,479,2762437,1,Unique,8477,81096,13760703,68599934
hard,41,28,88,118,6,20,8,78,2,31,28762,379,2707,33983899,9,18,370,254796,1,Unique,7217,83481,12373575,47297177
hard,42,324,108,4,51,70,3,14,108,56,97959,738,7672,114906834,9,18,729,2845333,1,Unique,7528,82611,17544431,136384887
hard,43,5,156,4,44,26,9,53,60,36,28743,393,4016,35379078,9,18,384,554912,1,Unique,6465,85816,8529793,45127635
hard,44,94,8,176,24,2,17,84,42,7,40551,454,4449,45849679,9,18,445,1111028,1,Unique,6220,93037,11061258,58762460
hard,45,74,10,116,2,8,96,56,32,120,65448,514,7060,63926985,9,18,505,577375,1,Unique,6211,82199,12828963,78148687
hard,46,25,4,180,14,7,52,272,92,62,89844,708,9882,106345310,9,18,699,672971,1,Unique,6712,80418,14767059,122841118
hard,47,30,106,47,68,10,24,15,13,40,23485,353,2894,30618780,9,18,344,683729,1,Unique,6160,81136,10465086,42391312
hard,48,10,3,114,16,10,50,342,44,6,36674,595,3221,62843059,9,18,586,727389,1,Unique,6753,80554,17969279,82451103
hard,49,42,52,15,184,204,1,46,80,10,95845,634,6572,99530415,9,18,625,1113481,1,Unique,7385,84004,15174457,116894349
hard,50,12,42,420,52,10,14,36,100,112,106440,798,7959,123748499,9,18,789,1925116,1,Unique,7348,77677,16243424,143089428
hard,51,74,7,84,2,90,54,156,258,118,160050,843,14776,165299238,9,18,834,5947459,1,Unique,6871,73179,18397383,190880591
hard,52,11,80,3,10,32,10,48,64,1012,142341,1270,7575,165349812,9,18,1261,1479005,1,Unique,6838,78804,21632264,190435195
hard,53,480,60,94,60,180,4,12,6,4,139752,900,15442,155508681,9,18,891,1205782,1,Unique,6057,88498,17099107,175137317
hard,54,118,134,16,30,2,35,284,40,16,90224,675,8035,101230842,9,18,666,1084641,1,Unique,6546,84162,14795414,118135015
hard,55,7,7,232,10,10,1522,40,1,80,531418,1909,25666,365077034,9,18,1900,1309936,1,Unique,9374,80257,40077763,408988435
hard,56,540,20,38,78,320,30,21,26,2,141234,1075,11695,213595076,9,18,1066,2183489,1,Unique,6737,81480,20358232,237645138
hard,57,180,220,152,34,23,80,72,20,66,172174,847,20636,165614066,9,18,838,12178765,1,Unique,8919,78066,16355519,195370793
hard,58,10,9,84,50,49,30,14,10,176,36415,432,4076,42125081,9,18,423,402821,1,Unique,6537,80657,8358024,51613768
hard,59,12,56,112,45,14,3,14,840,60,140253,1156,9266,183520506,9,18,1147,1539157,1,Unique,7739,79696,21287026,207989147
hard,60,28,30,56,64,19,10,60,36,30,23360,333,3743,28894806,9,18,324,1374624,1,Unique,7283,82044,10760789,41675223
hard,61,6,52,4,804,24,28,194,28,32,222036,1172,13401,196759149,9,18,1163,3533046,1,Unique,9259,85424,21000851,222977935
hard,62,66,384,24,64,8,18,48,20,5,61270,637,5663,73390610,9,18,628,1491889,1,Unique,7399,87195,12778649,88668917
hard,63,24,176,42,24,16,28,290,2724,16,1394928,3340,62246,1042174224,9,18,3331,18328306,1,Unique,12473,84486,47118925,1112032821
hard,64,68,184,8,159,50,277,92,8,108,167671,954,11304,218288827,9,18,945,26678413,1,Unique,7616,82204,21916940,268291145
hard,65,56,58,70,2,23,15,896,46,5,116190,1171,6777,161596852,9,18,1162,899641,1,Unique,7674,98057,21563226,185754364
hard,66,38,46,2,72,18,292,22,13,20,43758,523,4047,53327704,9,18,514,632158,1,Unique,9082,88563,10733959,65604643
hard,67,84,20,10,14,58,14,22,138,6,24076,366,3711,30865259,9,18,357,361764,1,Unique,7171,81256,9100834,41008310
hard,68,38,8,17,16,60,42,6,20,372,40464,579,4383,59615743,9,18,570,1762876,1,Unique,7871,87771,10363320,73009653
hard,69,84,4,8,476,52,18,30,94,552,183316,1318,12542,332842173,9,18,1309,6200662,1,Unique,10125,84361,32271303,373562852
hard,70,66,400,6,8,138,28,11,12,28,99282,697,7744,90419505,9,18,688,3443353,1,Unique,8878,78282,15696367,110746870
hard,71,90,12,20,92,20,32,438,8,4,103172,716,10275,92499902,9,18,707,2840815,1,Unique,7804,83810,14414914,110936931
hard,72,7,110,11,32,11,36,322,48,192,119673,769,10032,126403145,9,18,760,4262343,1,Unique,10754,80328,20837790,152713564
hard,73,20,100,44,6,28,8,63,62,36,30844,367,3908,33598239,9,18,358,880836,1,Unique,7357,86896,9031189,44209758
hard,74,40,2,312,8,384,69,5,22,107,118418,949,8120,187598742,9,18,940,1655382,1,Unique,7530,84762,20833500,211533820
hard,75,7,20,4,14,116,80,14,12,124,30744,391,3990,34626298,9,18,382,594430,1,Unique,7207,86073,9863715,45776814
hard,76,13,136,30,3,105,66,64,2,92,46518,511,3173,63612082,9,18,502,456331,1,Unique,7723,83559,13190533,78104038
hard,77,60,16,114,32,14,38,118,23,8,34900,423,4707,43504630,9,18,414,4519737,1,Unique,9687,87963,12658367,61441965
hard,78,12,180,24,208,16,18,4,66,80,42976,608,4693,86862971,9,18,599,714525,1,Unique,7735,101865,14317899,102903495
hard,79,31,52,14,16,14,132,34,18,26,18576,337,2611,26895640,9,18,328,999193,1,Unique,7069,84695,7711250,36223862
hard,80,53,10,18,58,4,43,632,12,266,273884,1096,16315,210750001,9,18,1087,2685360,1,Unique,7270,80478,21798571,236808297
hard,81,8,10,544,32,34,8,6,26,44,43672,712,3787,61468398,9,18,703,663462,1,Unique,7733,81433,15754229,79002642
hard,82,28,132,296,5,12,12,4,492,8,135976,989,11022,184155843,9,18,980,3502650,1,Unique,10596,88610,19935027,209063753
hard,83,60,11,18,66,92,198,11,10,20,55096,486,5398,53479667,9,18,477,1019656,1,Unique,11318,82345,11542194,66882294
hard,84,6,36,28,172,52,6,48,264,56,78576,668,9274,100038078,9,18,659,2248027,1,Unique,6443,82948,16673408,120001942
hard,85,96,172,98,64,7,192,40,16,7,95346,692,9341,115599809,9,18,683,5710206,1,Unique,9718,78903,16987403,139452344
hard,86,14,16,13,102,144,8,10,132,18,47640,457,5223,48084428,9,18,448,711901,1,Unique,9706,89774,16507729,66272616
hard,87,64,12,234,53,92,12,4,238,56,85972,765,6428,134981645,9,18,756,3399740,1,Unique,12196,87610,17754164,157311877
hard,88,42,4,6,228,110,59,16,34,120,78376,619,8819,88385302,9,18,610,2562242,1,Unique,8879,83593,13745121,105706080
hard,89,2,34,62,138,78,200,18,12,35,85892,579,10549,79399638,9,18,570,3627302,1,Unique,9220,81115,13201239,97173114
hard,90,182,12,11,76,176,13,8,18,74,46349,570,4948,73156794,9,18,561,2371538,1,Unique,8593,83993,14047098,90514625
hard,91,108,12,6,18,32,16,196,156,90,101612,634,9845,95280056,9,18,625,2401725,1,Unique,8982,83653,18873228,117563031
hard,92,14,8,140,12,40,34,84,10,102,41528,444,4468,47643347,9,18,435,1489801,1,Unique,8816,116184,9728545,59667969
hard,93,104,282,10,24,88,6,13,20,30,74138,577,7825,70295098,9,18,568,2561672,1,Unique,8119,85234,15590925,89386756
hard,94,16,16,16,8,57,7,94,108,94,44273,416,5168,41964081,9,18,407,1908614,1,Unique,9714,90049,8955137,53637171
hard,95,38,52,68,1,10,24,47,13,476,86162,729,8520,90755766,9,18,720,1195115,1,Unique,7661,83522,15065452,108194683
hard,96,30,125,130,32,4,11,21,152,13,55498,518,4461,63866036,9,18,509,1811102,1,Unique,7492,86415,11718692,78278917
hard,97,20,4,10,6,268,18,196,336,9,175616,867,8165,154448043,9,18,858,844347,1,Unique,7396,85926,19380386,175975305
hard,98,40,17,3,20,30,131,210,2,328,136306,781,6507,128831401,9,18,772,862607,1,Unique,7277,87537,16664271,147539707
hard,99,67,6,39,76,14,26,10,1,90,21143,329,2943,28062418,9,18,320,186972,1,Unique,9217,82806,7619483,36536211
